"ID";"P1";"P3";"P8";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P21";"P22";"P23";"P24";"P26";"P2";"P4";"P5";"P6";"P7";"P9";"P10";"P11";"P19";"P20"
29;Não;Nas instituições públicas;Na família;Sim;Moral;4 vezes ou mais;até 19 anos;Marido;Procurou ajuda de amigos;;50 a 59 anos;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Norte;Não;Não;Muito importante;Muito importante;Importante;Psicológica;Sim;Física;;
30;Não;No trabalho;Nas instituições públicas;Não;;;;;;;50 a 59 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Norte;Não;Em parte;Muito importante;Muito importante;Importante;Física;Sim;Física;;
31;As vezes;Na família;Nas instituições públicas;Não;;;;;;;50 a 59 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Norte;Sim;Não;Importante;Sem importância;Muito importante;Psicológica;Sim;Psicológica;;
32;Não;No trabalho;No trabalho;Não;;;;;;;50 a 59 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Norte;As vezes;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
33;Não;Na família;Na Justiça;Não;;;;;;;60 anos ou mais;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Norte;Não;Não;Muito importante;Importante;Muito importante;Moral;Não;;;
34;Não;Nas instituições públicas;Nas instituições públicas;Não;;;;;;;60 anos ou mais;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Norte;As vezes;Não;Indiferente;Muito importante;Importante;Moral;Não;;;
35;As vezes;No trabalho;Na família;Não;;;;;;;16 a 19 anos;Ensino fundamental;NS/NR;Trabalha fora;Sudeste;Sim;Em parte;Muito importante;Importante;Importante;Sexual;Não;;;
36;Sim;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
37;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;As vezes;Em parte;Muito importante;Muito importante;Pouco importante;Sexual;Não;;;
38;As vezes;Na Justiça;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Importante;Muito importante;Moral;Não;;;
39;As vezes;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino superior;Mais de 21 salários mínimos (R$ 5.460);Trabalha fora;Sudeste;As vezes;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
40;As vezes;Nas instituições públicas;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
41;Não;No trabalho;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;As vezes;Em parte;Importante;Muito importante;Muito importante;Psicológica;Não;;;
42;Sim;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Estudante;Sudeste;As vezes;Em parte;Sem importância;Muito importante;Muito importante;Física;Não;;;
43;Não;Na Justiça;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
44;Não;No trabalho;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Importante;Sexual;Sim;Física;;
45;Sim;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Estudante;Sudeste;As vezes;Sim;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
46;Não;Na família;NS/NR;Sim;Física;1 vez;até 19 anos;Namorado;Procurou ajuda da família;;20 a 29 anos;Ensino fundamental;NS/NR;Estudante;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
47;Não;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Muito importante;Importante;Muito importante;Física;Não;;;
48;Não;Na Justiça;Na família;Sim;Física;4 vezes ou mais;até 19 anos;Pai;Procurou uma delegacia da mulher;Bom;20 a 29 anos;Ensino fundamental;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Importante;Moral;Sim;Física;;
49;Não;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Estudante;Sudeste;Não;Em parte;Indiferente;Muito importante;Muito importante;Psicológica;Não;;;
50;As vezes;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Em parte;Importante;Muito importante;Importante;Sexual;Não;;;
51;As vezes;Na família;NS/NR;Não;;;;;;;30 a 39 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Sim;Importante;Importante;Importante;Sexual;Não;;;
52;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Muito importante;Importante;Importante;Física;Não;;;
53;As vezes;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Sim;Importante;Importante;Importante;Moral;Sim;Física;;
54;Não;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
55;Não;Na Justiça;Na família;Não;;;;;;;30 a 39 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;NS/NR;Muito importante;Muito importante;Importante;Sexual;Sim;Física;;
56;Não;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
57;As vezes;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Pós-graduação;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Sim;Psicológica;;
58;Não;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino superior;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Não;Importante;Importante;Importante;Sexual;Não;;;
59;Sim;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Pouco importante;Psicológica;Sim;Física;;
60;Não;Na família;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Moral;Não;;;
61;As vezes;Na família;Na família;Não;;;;;;;40 a 49 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Em parte;Pouco Importante;Muito importante;Muito importante;Moral;Não;;;
62;Sim;No trabalho;Na Justiça;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Sim;Sim;Importante;Importante;Importante;Sexual;Não;;;
63;Não;No trabalho;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;As vezes;Não;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
64;Não;Nas instituições públicas;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
65;As vezes;Na família;Nas instituições públicas;Sim;Moral;1 vez;30 a 39 anos;Marido;Procurou uma delegacia comum;Ótimo;40 a 49 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Moral;Sim;Moral;Foi para sua casa;
66;As vezes;Nas instituições públicas;Na solicitação de serviços;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Sim;Muito importante;Importante;Importante;Sexual;Não;;;
67;Não;Na Justiça;Na família;Não;;;;;;;50 a 59 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
68;As vezes;Na família;Na Justiça;Não;;;;;;;50 a 59 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;;
69;Não;Nas instituições públicas;Na solicitação de serviços;Não;;;;;;;50 a 59 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;NS/NR;Não;Importante;Importante;Importante;Sexual;Não;;;
70;Não;NS/NR;NS/NR;Não;;;;;;;50 a 59 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;NS/NR;Muito importante;Importante;Importante;NS/NR;Não;;;
71;Não;Na família;Na solicitação de serviços;Não;;;;;;;50 a 59 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Patrimonial;Não;;;
72;As vezes;NS/NR;NS/NR;Não;;;;;;;50 a 59 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
73;Sim;NS/NR;Na família;Não;;;;;;;50 a 59 anos;Ensino fundamental;NS/NR;Dona de casa;Sudeste;Não;Sim;Importante;Muito importante;Pouco importante;Moral;Não;;;
74;Não;Nas instituições públicas;No trabalho;Não;;;;;;;60 anos ou mais;Não alfabetizada;NS/NR;Dona de casa;Sudeste;Sim;Sim;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
75;As vezes;No trabalho;Nas instituições públicas;Não;;;;;;;60 anos ou mais;Não alfabetizada;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;As vezes;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
76;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;60 anos ou mais;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
77;As vezes;Na família;NS/NR;Não;;;;;;;60 anos ou mais;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;As vezes;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
78;Não;Na família;Nas instituições públicas;Não;;;;;;;60 anos ou mais;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Moral;Não;;;
79;Não;Na família;NS/NR;Não;;;;;;;60 anos ou mais;Ensino superior;Mais de 21 salários mínimos (R$ 5.460);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
80;Sim;NS/NR;Na solicitação de serviços;Não;;;;;;;60 anos ou mais;Ensino superior;Mais de 21 salários mínimos (R$ 5.460);Dona de casa;Sudeste;As vezes;Em parte;Importante;Muito importante;Muito importante;Moral;Não;;;
81;Não;Na Justiça;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;NS/NR;Estudante;Norte;Não;Sim;Importante;Muito importante;Muito importante;Moral;Sim;Física;;
82;Não;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Norte;Não;Não;Muito importante;Muito importante;Importante;Psicológica;Não;;;
83;Não;Na Justiça;Na família;Não;;;;;;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Norte;Não;Sim;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
84;Não;Na Justiça;Na solicitação de serviços;Não;;;;;;;16 a 19 anos;Ensino médio;Até 2 salários míninos (R$ 520);Estudante;Centro-Oeste;Não;Em parte;Muito importante;Importante;Muito importante;Moral;Sim;Física;;
85;Não;Na família;No trabalho;Não;;;;;;;16 a 19 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Não;Não;Indiferente;Muito importante;Muito importante;Sexual;Não;;;
86;Não;Na família;No trabalho;Não;;;;;;;16 a 19 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Centro-Oeste;Não;Não;Importante;Importante;Indiferente;Física;Sim;Física;;
87;Não;Na solicitação de serviços;Na família;Não;;;;;;;16 a 19 anos;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Centro-Oeste;Não;Sim;Muito importante;Importante;Muito importante;Sexual;Não;;;
88;As vezes;Na Justiça;No trabalho;Não;;;;;;;16 a 19 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Centro-Oeste;Não;Sim;Muito importante;Importante;Muito importante;Sexual;Sim;Física;;
89;Não;Na Justiça;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Não;Em parte;Importante;Muito importante;Muito importante;Física;Não;;;
90;As vezes;Na Justiça;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Não;Sim;Importante;Importante;Muito importante;Moral;Não;;;
91;As vezes;Na Justiça;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Centro-Oeste;Não;Em parte;Importante;Muito importante;Muito importante;Física;Sim;Física;;
92;Não;Na família;Na solicitação de serviços;Sim;Física;4 vezes ou mais;até 19 anos;Marido;Procurou uma delegacia comum;Ruim;20 a 29 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Não;Sim;Muito importante;Importante;Muito importante;Sexual;Sim;Física;Foi para casa de familiares;
93;Não;No trabalho;Na solicitação de serviços;Sim;Física;1 vez;20 a 29 anos;Marido;NS/NR;;20 a 29 anos;NS/NR;NS/NR;Dona de casa;Centro-Oeste;Não;Não;Muito importante;Muito importante;Importante;Moral;Sim;Moral;;
94;Não;No trabalho;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Centro-Oeste;Não;Não;Importante;Importante;Muito importante;Psicológica;Não;;;
95;Não;NS/NR;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Centro-Oeste;Não;Sim;Muito importante;Muito importante;Importante;Sexual;Sim;Física;;
96;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Estudante;Centro-Oeste;Não;Sim;Muito importante;Muito importante;Muito importante;Moral;Não;;;
97;Não;No trabalho;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Centro-Oeste;As vezes;Em parte;Importante;Importante;Pouco importante;Sexual;Sim;Física;;
98;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Centro-Oeste;Não;Em parte;Importante;Muito importante;Importante;Física;Não;;;
99;Não;Na Justiça;Na família;Não;;;;;;;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Não;Não;Muito importante;Muito importante;Importante;Sexual;Sim;Física;;
100;Não;Nas instituições públicas;Na Justiça;Sim;Moral;3 vezes;até 19 anos;Marido;Procurou uma delegacia da mulher;Ótimo;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);NS/NR;Centro-Oeste;Não;Não;Muito importante;Importante;Muito importante;Física;Sim;Física;Foi para sua casa;
101;As vezes;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Pós-graduação;Mais de 21 salários mínimos (R$ 5.460);Trabalha fora;Centro-Oeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
102;As vezes;Na Justiça;Na família;Não;;;;;;;30 a 39 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Centro-Oeste;Não;Em parte;Importante;Muito importante;Muito importante;Física;Não;;;
103;As vezes;Na família;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Centro-Oeste;As vezes;Não;Importante;Muito importante;Importante;Física;Sim;Física;;
104;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Não;;;
105;As vezes;Nas instituições públicas;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Centro-Oeste;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
106;Não;Na Justiça;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino fundamental;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Não;Não;Muito importante;Muito importante;Importante;Sexual;Não;;;
107;As vezes;Nas instituições públicas;Na família;Sim;Moral;4 vezes ou mais;até 19 anos;Marido;Procurou ajuda da família;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Centro-Oeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Moral;Sim;NS/NR;;
108;As vezes;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Centro-Oeste;As vezes;Não;Muito importante;Muito importante;Muito importante;Moral;Não;;;
109;Não;No trabalho;No trabalho;Não;;;;;;;30 a 39 anos;Não alfabetizada;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Não;Sim;Importante;Importante;Importante;Sexual;Não;;;
110;Não;Na família;No trabalho;Não;;;;;;;40 a 49 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Centro-Oeste;Não;Sim;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Física;;
111;Não;Na família;No trabalho;Não;;;;;;;40 a 49 anos;Ensino superior;NS/NR;Dona de casa;Centro-Oeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
112;As vezes;Na Justiça;Na solicitação de serviços;Sim;Psicológica;1 vez;30 a 39 anos;Marido;Procurou ajuda da família;;40 a 49 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Centro-Oeste;Não;Não;Muito importante;Importante;Muito importante;Sexual;Não;;;
113;NS/NR;Na Justiça;NS/NR;Prefere não falar sobre o assunto;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Centro-Oeste;Não;Sim;Muito importante;Muito importante;Importante;Sexual;Não;;;
