"ID";"P03";"P05";"P06";"P07";"P08";"P12";"P1301";"P1302";"P1303";"P1304";"P1305";"P1306";"P1307";"P1308";"P1309";"P14";"P15";"P16";"P19";"P20";"P21";"P22";"P231";"P232";"P233";"P234";"P235";"P236";"P237";"P238";"P24";"P251";"P252";"P253";"P254";"P255";"P256";"P257";"P258";"P2601";"P2602";"P2603";"P2604";"P2605";"P2606";"P2607";"P2608";"P2609";"P2610";"P2611";"P2612";"P2613";"P2614";"P2615";"P2701";"P2702";"P2703";"P2704";"P2705";"P2706";"P2707";"P2708";"P2709";"P2710";"P2711";"P2712";"P2713";"P2714";"P2715";"P2716";"P2717";"P2718";"P28";"P29";"P30";"P32";"P3101";"P3102";"P3103";"P3104";"P3105";"P3106";"P3107";"P3108";"P3109";"P3110";"P3111";"P33";"P34";"P35";"P36";"P37";"P38";"P39";"REGIAO";"P09";"P10";"P11";"P17";"P18';"PropFM",,,
11;Minas Gerais;Não;Na rua;Pouco machista;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;;Sim;Sim;No;No;No;No;No;No;Yes;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 50 a 59 anos</b>;<b>Divorciada</b>;Sim;<b>Fundamental INCOMPLETO (1º grau incompleto / ginasial incompleto ou primário)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Parda;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;123254,42251462,
12;São Paulo;Às vezes;Na família;Muito machista;Aumentou;Na minoria das vezes;No;Yes;Yes;Yes;No;No;No;No;No;Sim;Em parte;Muito;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;Yes;Yes;No;No;Yes;No;No;No;Sim;Yes;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Sim;Não;<b>30 a 39 anos</b>;No;Yes;No;No;No;No;No;No;No;No;No;<b>De 40 a 49 anos</b>;<b>Casada</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Dona de casa / Do lar</b>;Parda;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;87994,5957446808,
13;São Paulo;Não;Na rua;Muito machista;Aumentou;Na maioria das vezes;No;Yes;No;Yes;Yes;No;No;No;No;Sim;Em parte;Muito;Sim;<b>Delegacia comum</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Sem renda</b>;<b>Profissional Liberal (Autônoma)</b>;<b>Não sei (Não Ler)</b>;Sudeste;Sim;<b>Não sei  (Não Ler)</b>;Sim;Não;<b>Deve</b>;62771,4925373134,,
14;Minas Gerais;Não;No trabalho;Muito machista;Continuou igual;Na minoria das vezes;No;No;No;No;No;Yes;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia comum</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Sim;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Sim;Sim;<b>20 a 29 anos</b>;No;No;No;No;No;No;No;Yes;No;No;No;<b>De 30 a 39 anos</b>;<b>Casada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Funcionária de empresa privada</b>;Parda;Sudeste;;;Não;Não;<b>Deve</b>;34962,6532738095
15;Minas Gerais;Às vezes;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;Yes;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Casada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Branca;Sudeste;Não;Não;Sim;Não;<b>Deve</b>;88613,555555556,
16;São Paulo;Às vezes;Na rua;Pouco machista;Aumentou;Na minoria das vezes;No;Yes;No;Yes;Yes;No;No;No;No;Sim;Em parte;Muito;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;Yes;No;Yes;No;Yes;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Não;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Parda;Sudeste;Sim;Não;Não;Sim;<b>Deve</b>;62771,4925373134,
17;Minas Gerais;Não;No trabalho;Muito machista;Continuou igual;Na maioria das vezes;No;Yes;No;No;Yes;No;No;No;No;Sim;Sim;Muito;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Não;<b>Superior INCOMPLETO (3º grau incompleto / graduação incompleta)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Profissional Liberal (Autônoma)</b>;Parda;Sudeste;;;Sim;Não;<b>Deve</b>;59797,1922146027,
18;Minas Gerais;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Não;Muito;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Sim;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Sim;Sim;<b>20 a 29 anos</b>;Yes;No;No;No;No;No;No;No;No;No;No;<b>De 30 a 39 anos</b>;<b>Solteira</b>;Não;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Funcionária de empresa privada</b>;Branca;Sudeste;Sim;Não;Sim;Não;<b>Deve</b>;34962,6532738095
19;São Paulo;Às vezes;Na rua;Muito machista;Aumentou;Não denunciam;No;No;No;No;No;Yes;No;No;No;Sim;Em parte;Pouco;<b>Não sei  (Não Ler)</b>;;Sim;Sim;No;No;No;No;No;Yes;No;No;Sim;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Não;Não;<b>0 a 15 anos</b>;No;No;No;No;No;No;No;Yes;No;No;No;<b>60 anos ou mais</b>;<b>Solteira</b>;Não;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Aposentada / Pensionista</b>;Branca;Sudeste;Não;Sim;Sim;Sim;<b>Deve</b>;109377,845238095
20;Minas Gerais;Às vezes;Na rua;Muito machista;Aumentou;Não denunciam;No;Yes;No;No;Yes;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Casada</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Dona de casa / Do lar</b>;Parda;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;80514,7041223404,
21;São Paulo;Não;No trabalho;Muito machista;Continuou igual;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Em parte;Muito;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 40 a 49 anos</b>;<b>Casada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>De R$ 4.685,01 a R$ 9.370,00 (mais de 5 a 10)</b>;<b>Profissional Liberal (Autônoma)</b>;Parda;Sudeste;;;Sim;Não;<b>Deve</b>;34962,6532738095
22;São Paulo;Às vezes;Na rua;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia comum</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 18 a 19 anos</b>;<b>Solteira</b>;Não;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>Sem renda</b>;<b>Estudante</b>;Parda;Sudeste;Sim;<b>Não sei  (Não Ler)</b>;Sim;Sim;<b>Deve</b>;100921,928571429,,
23;São Paulo;Não;No trabalho;Muito machista;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Não;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Desempregada</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;62771,4925373134,
24;Minas Gerais;Não;Na rua;Muito machista;Diminuiu;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;Yes;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>Solteira</b>;Não;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Branca;Sudeste;;;Não;Sim;<b>Deve</b>;59797,1922146027,
25;São Paulo;Às vezes;Na rua;Muito machista;Aumentou;Não denunciam;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Sim;Sim;Pouco;Sim;<b>Delegacia da Mulher</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 50 a 59 anos</b>;<b>Casada</b>;Sim;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;119924,289473684,,
26;Minas Gerais;Sim;No trabalho;Muito machista;Aumentou;Não denunciam;No;No;No;No;Yes;No;No;No;No;Sim;Sim;Pouco;Sim;;Sim;Sim;No;No;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 50 a 59 anos</b>;<b>Casada</b>;Sim;<b>Fundamental COMPLETO (1º grau completo / ginasial completo)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Empregada doméstica</b>;Parda;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;123254,42251462,
27;São Paulo;Às vezes;Na família;Muito machista;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;No;No;Yes;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 40 a 49 anos</b>;<b>Casada</b>;Sim;<b>Fundamental COMPLETO (1º grau completo / ginasial completo)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Parda;Sudeste;Não;Sim;Sim;Sim;<b>Deve</b>;105332,52631579,,
28;Minas Gerais;Não;Na rua;Muito machista;Aumentou;Na minoria das vezes;Yes;Yes;No;Yes;Yes;No;No;No;No;Sim;Sim;Pouco;Sim;<b>Delegacia da Mulher</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 40 a 49 anos</b>;<b>Casada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>Sem renda</b>;<b>Desempregada</b>;Parda;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;72646,7777777778,,
29;Minas Gerais;Não;Na família;Muito machista;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Não;Pouco;Sim;<b>Delegacia comum</b>;Sim;Sim;No;No;No;No;Yes;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>60 anos ou mais</b>;<b>Viúva</b>;Sim;<b>Fundamental INCOMPLETO (1º grau incompleto / ginasial incompleto ou primário)</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Dona de casa / Do lar</b>;<b>Não sei (Não Ler)</b>;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;108423,857142857
30;São Paulo;Não;Na rua;Muito machista;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;Yes;No;Yes;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 20 a 29 anos</b>;<b>União estável</b>;Não;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Funcionária de empresa privada</b>;Branca;Sudeste;;;Sim;Sim;<b>Deve</b>;62771,4925373134,
31;Minas Gerais;Não;No trabalho;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;No;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Casada</b>;Sim;<b>Fundamental INCOMPLETO (1º grau incompleto / ginasial incompleto ou primário)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Parda;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;102668,588815789,,
32;São Paulo;Às vezes;Na rua;Pouco machista;Diminuiu;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Delegacia da Mulher</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 40 a 49 anos</b>;<b>Casada</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Branca;Sudeste;;;Sim;Sim;<b>Deve</b>;80514,7041223404,,
33;Minas Gerais;Não;Na rua;Pouco machista;Aumentou;Na minoria das vezes;No;No;No;No;No;Yes;Yes;No;No;Sim;Não;Pouco;Sim;<b>Polícia (Disque 190)</b>;Sim;Sim;Yes;No;No;No;Yes;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Casada</b>;Sim;<b>Médio COMPLETO (2º grau completo / colegial completo / técnico completo / magistério)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Parda;Sudeste;Sim;Não;Sim;Sim;<b>Deve</b>;80514,7041223404,,
34;São Paulo;Às vezes;Na rua;Pouco machista;Continuou igual;Na minoria das vezes;Yes;No;No;Yes;Yes;No;No;No;No;Sim;Sim;Pouco;Sim;;Sim;Sim;Yes;No;Yes;No;Yes;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Casada</b>;Sim;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>De R$ 4.685,01 a R$ 9.370,00 (mais de 5 a 10)</b>;<b>Profissional Liberal (Autônoma)</b>;Amarela;Sudeste;;;Sim;Não;<b>Deve</b>;37020,1875
35;Minas Gerais;Às vezes;No trabalho;Pouco machista;Continuou igual;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Sim;Pouco;Sim;<b>Delegacia da Mulher</b>;Sim;Sim;Yes;No;Yes;No;No;No;No;No;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Divorciada</b>;Não;<b>Superior COMPLETO (3º grau completo / graduação completa / Normal Superior )</b>;<b>De R$ 1.874,01 a R$ 4.685,00 (mais de 2 a 5)</b>;<b>Funcionária de empresa privada</b>;Branca;Sudeste;;;Não;Não;<b>Deve</b>;32905,119047619
36;Minas Gerais;Não;Na rua;Muito machista;Diminuiu;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;<b>Polícia (Disque 190)</b>;Não;;;;;;;;;;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<b>De 30 a 39 anos</b>;<b>Solteira</b>;Sim;<b>Médio INCOMPLETO (2º grau incompleto / colegial incompleto)</b>;<b>Sem renda</b>;<b>Dona de casa / Do lar</b>;Parda;Sudeste;;;Sim;Sim;<b>Deve</b>;102668,588815789,,
37;Minas Gerais;Sim;No trabalho;Muito machista;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Em parte;Pouco;Sim;;Não;;;;;;;;;;Sim;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Não;Sim;Não;<b>30 a 39 anos</b>;No;No;No;No;No;No;No;Yes;No;No;No;<b>60 anos ou mais</b>;<b>Casada</b>;Sim;<b>Fundamental COMPLETO (1º grau completo / ginasial completo)</b>;<b>Até R$ 1.874,00 (até 2 salários mínimos)</b>;<b>Dona de casa / Do lar</b>;Branca;Sudeste;Sim;Sim;Sim;Sim;<b>Deve</b>;126584,555555556,
