"ID";"P04";"P05";"P06";"P08";"P10";"P11";"P12";"P15";"P16";"P17";"P19";"P071";"P072";"P073";"P074";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P181";"P182";"P183";"P184";"P185";"P186";"P187";"P2001";"P2002";"P2003";"P2004";"P2005";"P2006";"P2007";"P2008";"P2009";"P2010";"P2011";"P211";"P212";"P213";"P214";"P215";"P216";"P217";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30";"P31";"P03";"P32";"P33";"P34";"P35";"P36";"P37";"P02";"P13";"P14",
15;Não;Na família;Continuou igual;Não denunciam;Sim;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;Yes;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;60 anos ou mais;Ensino Superior;Mais de 5 a 10 S.M.;Profissional Liberal (Autônoma);Católica;Branca;Mato Grosso                                              ;Sim;Deve,
16;Às vezes;Na família;Aumentou;Não denunciam;Sim;Sim;Melhor;Sim;Delegacia da Mulher;Não;Sim;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;Marido / companheiro;Não;;;Procurou ajuda da família;;;;20 a 29 anos;Terceira vez ou mais;Centro-Oeste;60 anos ou mais;Ensino Superior;Mais de 2 a 5 S.M.;Dona de casa / Do lar;Espírita;Branca;Mato Grosso do Sul                                       ;Sim;Deve,
17;Às vezes;Na família;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Ensino Superior;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Católica;Parda;Minas Gerais                                             ;Não;Deve,
18;Às vezes;Na família;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Não;-2;Não;Não;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Ensino Superior;NS/NR;Aposentada / Pensionista;Sem religião/crença;Branca;Minas Gerais                                             ;Não;Deve,
19;Às vezes;No trabalho;Continuou igual;Não denunciam;Não;Sim;Igual;Sim;Delegacia da Mulher;Não;Não;Yes;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Ensino Superior;Até 2 S.M.;Aposentada / Pensionista;Católica;Branca;Minas Gerais                                             ;Não;Deve,
20;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;-2;Não;Não;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Ensino Superior;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Católica;Branca;Minas Gerais                                             ;Sim;Deve,
21;Às vezes;NS/NR;Aumentou;Na maioria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Norte;60 anos ou mais;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Católica;Parda;Pará                                                    ;Sim;Deve,
22;Às vezes;Na família;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;Yes;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Norte;60 anos ou mais;Ensino Superior;Mais de 5 a 10 S.M.;Aposentada / Pensionista;Evangélica;Parda;Pará                                                    ;Sim;Deve,
23;Às vezes;Na família;Aumentou;Na maioria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;Yes;Yes;No;No;Yes;No;Yes;Yes;No;Yes;No;No;No;Yes;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;60 anos ou mais;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Católica;Parda;Paraíba                                                 ;Sim;Deve,
24;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;Yes;Yes;No;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;60 anos ou mais;Ensino Superior;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Católica;Branca;Paraíba                                                 ;Não;Deve,
25;Às vezes;No trabalho;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;60 anos ou mais;Ensino Superior;Mais de 10 S.M.;Aposentada / Pensionista;Católica;Branca;Paraíba                                                 ;Sim;Deve,
26;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;60 anos ou mais;Ensino Superior;Mais de 5 a 10 S.M.;Aposentada / Pensionista;Católica;Parda;Pernambuco                                               ;Sim;Deve,
27;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Sim;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;60 anos ou mais;Ensino Superior;Mais de 2 a 5 S.M.;Dona de casa / Do lar;Católica;Parda;Pernambuco                                               ;Sim;Deve,
28;Às vezes;Na sociedade;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;60 anos ou mais;Ensino Superior;Mais de 2 a 5 S.M.;Servidora Pública;Católica;Parda;Piauí                                                   ;Não;Deve,
29;Às vezes;Na sociedade;Aumentou;Não denunciam;Não;Sim;Melhor;Não;-2;Não;Não;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Ensino Superior;Mais de 5 a 10 S.M.;Aposentada / Pensionista;Católica;Branca;Rio de Janeiro                                           ;Sim;Deve,
30;Às vezes;Na sociedade;Diminuiu;Na minoria das vezes;Sim;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Sim;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;Yes;No;No;No;Ex-namorado,ex-marido ou ex-companheiro;Não;;;NS/NR;;;;40 a 49 anos;NS/NR;Sudeste;60 anos ou mais;Ensino Superior;Mais de 10 S.M.;Aposentada / Pensionista;Sem religião/crença;Branca;Rio de Janeiro                                           ;Sim;Deve
31;Não;No trabalho;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;60 anos ou mais;Ensino Superior;Mais de 5 a 10 S.M.;Dona de casa / Do lar;Católica;Branca;Rio Grande do Sul                                        ;Sim;Deve,
32;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Melhor;Sim;-2;Sim;Não;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;60 anos ou mais;Ensino Superior;Até 2 S.M.;Aposentada / Pensionista;Católica;Branca;Rio Grande do Sul                                        ;Sim;Deve,
33;Às vezes;NS/NR;Aumentou;Na minoria das vezes;Não;Sim;Igual;NS/NR;-2;Não;Não;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;60 anos ou mais;Ensino Superior;Mais de 10 S.M.;Aposentada / Pensionista;Sem religião/crença;Branca;Rio Grande do Sul                                        ;Sim;Deve,
34;Às vezes;Na família;Aumentou;Não denunciam;Em parte;Sim;Igual;Sim;-2;Sim;Não;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;60 anos ou mais;Ensino Superior;Mais de 5 a 10 S.M.;Aposentada / Pensionista;Católica;Branca;Rio Grande do Sul                                        ;Não;Deve,
35;Não;Na família;Aumentou;Na minoria das vezes;Não;Sim;Pior;Sim;Delegacia da Mulher;Sim;Não;Yes;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;60 anos ou mais;Ensino Superior;Mais de 10 S.M.;Aposentada / Pensionista;Evangélica;Branca;Santa Catarina                                           ;Sim;Deve,
36;Às vezes;Na família;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;60 anos ou mais;Ensino Superior;NS/NR;Aposentada / Pensionista;Católica;Branca;Santa Catarina                                           ;Sim;Deve,
37;Às vezes;Na família;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;-2;Não;Não;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Ensino Superior;Mais de 10 S.M.;Profissional Liberal (Autônoma);Católica;Branca;São Paulo                                               ;Não;Deve,
38;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Pior;Sim;Polícia / Delegacia comum;Sim;Não;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Ensino Superior;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Católica;Branca;São Paulo                                               ;Sim;Deve,
39;Não;No trabalho;Aumentou;Não denunciam;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Sim;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Marido / companheiro;Não;;;Denunciou em uma delegacia comum;;Ótimo;;40 a 49 anos;Primeira vez;Sudeste;60 anos ou mais;Ensino Superior;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Católica;Branca;São Paulo                                               ;Não;Deve,
40;Não;No trabalho;Aumentou;Na minoria das vezes;Não;Sim;Igual;Não;-2;Sim;Não;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Ensino Superior;Mais de 5 a 10 S.M.;NS/NR;Católica;Branca;São Paulo                                               ;Não;Deve,
41;Não;Na família;Aumentou;Na minoria das vezes;Não;Sim;Melhor;Não;-2;Sim;Sim;Yes;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;Marido / companheiro;Sim;Não;;Não fez nada;Preocupação com a criação dos filhos;;;40 a 49 anos;Não procurei ajuda ;Sudeste;60 anos ou mais;Ensino Superior;Mais de 10 S.M.;Dona de casa / Do lar;Outra;Branca;São Paulo                                               ;Sim;Deve,
42;Às vezes;Na sociedade;Diminuiu;Na minoria das vezes;Sim;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Ensino Superior;NS/NR;Aposentada / Pensionista;Evangélica;Branca;São Paulo                                               ;Sim;Deve,
43;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Católica;Branca;Alagoas                                                  ;Sim;Deve,
44;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Norte;De 50 a 59 anos;Ensino Superior;Mais de 5 a 10 S.M.;Servidora Pública;Católica;Parda;Amazonas                                                 ;Não;Deve,
45;Não;No trabalho;Diminuiu;Na minoria das vezes;Em parte;Sim;Melhor;NS/NR;-2;Sim;Sim;Yes;No;No;No;Yes;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;Ex-namorado,ex-marido ou ex-companheiro;Não;;;Outra opção;;;;20 a 29 anos;Primeira vez;Norte;De 50 a 59 anos;Ensino Superior;Sem renda;NS/NR;Católica;Parda;Amazonas                                                 ;Não;Deve
46;Às vezes;Na família;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Até 2 S.M.;Profissional Liberal (Autônoma);Outra;Branca;Bahia                                                    ;Não;Deve,
47;Não;No trabalho;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Sem renda;Desempregada;Espírita;NS/NR;Bahia                                                    ;Sim;Deve,
48;Às vezes;No trabalho;Diminuiu;Não denunciam;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Marido / companheiro;Não;;;Procurou ajuda da família;;;;0 a 15 anos;Terceira vez ou mais;Nordeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Dona de casa / Do lar;Outra;Parda;Bahia                                                    ;Não;Deve,
49;Não;No trabalho;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;Yes;No;Yes;No;Yes;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Católica;Branca;Bahia                                                    ;Não;Deve,
50;Não;Na sociedade;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Sim;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Marido / companheiro;Não;;;Denunciou em uma Delegacia da Mulher;;Regular;;30 a 39 anos;Primeira vez;Nordeste;De 50 a 59 anos;Ensino Superior;Até 2 S.M.;Servidora Pública;Católica;Parda;Ceará                                                   ;Sim;Deve,
51;Às vezes;No trabalho;Continuou igual;Na minoria das vezes;Não;Sim;Melhor;Sim;-2;Sim;Não;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Servidora Pública;Católica;Parda;Ceará                                                   ;Sim;Deve,
52;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Melhor;Sim;-2;Sim;Não;No;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Ensino Superior;Mais de 2 a 5 S.M.;Servidora Pública;Sem religião/crença;Branca;Ceará                                                   ;Sim;Deve,
53;Não;NS/NR;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Ex-namorado,ex-marido ou ex-companheiro;Sim;Não;;NS/NR;;;;16 a 19 anos;Terceira vez ou mais;Centro-Oeste;De 50 a 59 anos;Ensino Superior;NS/NR;Servidora Pública;NS/NR;Branca;Distrito Federal                                         ;Não;Não deve
