"ID";"P04";"P05";"P10";"P11";"P19";"P2001";"P2002";"P2003";"P2004";"P2005";"P2006";"P2007";"P2008";"P2009";"P2010";"P2011";"P211";"P212";"P213";"P214";"P215";"P216";"P217";"P22";"P23";"P25";"P26";"P28";"P30";"P06";"P08";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P15";"P16";"P17";"P181";"P182";"P183";"P184";"P185";"P186";"P187";"P24";"P27";"P29";"P31";"P32";"P33";"Renda2";"P35";"P37";"P36";"P03";"P02";"P071";"P072";"P073";"P074";"P12";"P13";"P14";"P34"
24;Não;Na sociedade;Em parte;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Outro;;;Denunciou em uma delegacia comum;Bom;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;;;1ª vez;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Dona de casa / Do lar;Parda;Evangélica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
25;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;20 a 29 anos;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
26;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Não;Não;Sim;Sim;Não;Sim;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Espírita;Nordeste;Bahia;Não;Sim;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
27;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;50 a 59 anos;Até Ens. Fund.;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Parda;Sem religião/crença;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
28;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;;Sim;Não;Não;Sim;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Superior;Mais de 2 a 5 S.M.;Servidora Pública;Preta;Espírita;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
29;Não;Na família;Não;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;NS/NR;;;Procurou a Igreja;;0 a 15 anos;Aumentou;Não denunciam;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;Não;;;3ª vez ou +;60 ou mais;Ens. Superior;NS/NR;Aposentada / Pensionista;Branca;NS/NR ;Nordeste;Bahia;Não;Não;Sim;Não;Pior;Sim;Sim;NS/NR
30;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Sim;Não;Sim;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Preta;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
31;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
32;Às vezes;Na sociedade;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Irmão / cunhado;Não;;Procurou ajuda da família;;16 a 19 anos;Aumentou;Na minoria das vezes;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;;Sim;Sim;Não;Sim;Não;Sim;Não;Não;;;;1ª vez;20 a 29 anos;Ens. Médio;NS/NR;Aposentada / Pensionista;Parda;NS/NR ;Nordeste;Bahia;Sim;Não;Não;Não;Igual;Não;Sim;NS/NR
33;Às vezes;NS/NR;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Parda;Evangélica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Não;Sim;Até 2 S.M.
34;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Preta;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
35;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Sim;Não;Não;Não;Não;Não;;;;;60 ou mais;Ens. Médio;Mais de 2 a 5 S.M.;Dona de casa / Do lar;Parda;Evangélica;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Sim;Sim;Mais de 2 a 5 S.M.
36;Sim;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Outras respostas ;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;50 a 59 anos;Ens. Superior;Mais de 2 a 5 S.M.;Servidora Pública;Parda;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Não;Sim;Mais de 2 a 5 S.M.
37;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Sim;Não;Sim;Não;Não;;;;;50 a 59 anos;Ens. Superior;NS/NR;Servidora Pública;Parda;Sem religião/crença;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Não;Sim;NS/NR
38;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Não;Não;Sim;Não;Não;Não;Não;;;;;16 a 19 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Amarela;Evangélica;Nordeste;Bahia;Não;Sim;Não;Não;Igual;Não;Sim;Até 2 S.M.
39;Às vezes;Na sociedade;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Marido / companheiro;Não;;Denunciou em uma Delegacia da Mulher;Péssimo;;Aumentou;Na minoria das vezes;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;;Sim;Não;Não;Não;Não;Sim;Não;Não;;;;2ª vez;40 a 49 anos;Até Ens. Fund.;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Igual;Sim;Sim;Mais de 2 a 5 S.M.
40;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Sim;Não;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;40 a 49 anos;Ens. Médio;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Parda;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
41;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;16 a 19 anos;Até Ens. Fund.;Sem renda;Dona de casa / Do lar;Parda;Católica;Nordeste;Bahia;Sim;Sim;Não;Não;Melhor;Sim;Sim;Sem renda
42;Não;Na sociedade;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Padrasto;Não;;Denunciou em uma delegacia comum;Bom;;Aumentou;Não denunciam;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Central de Atendimento à Mulher (Ligue 180);Sim;Não;Não;Não;Não;Não;Sim;Não;;;;3ª vez ou +;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Preta;Sem religião/crença;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
43;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Sim;Sim;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;40 a 49 anos;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Branca;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
44;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Sem renda;Funcionária de empresa privada;Preta;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Não;Sim;Sem renda
45;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;60 ou mais;Ens. Médio;Até 2 S.M.;Servidora Pública;NS/NR ;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
46;Sim;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Branca;Sem religião/crença;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Não;Sim;Mais de 2 a 5 S.M.
47;Não;No trabalho;Em parte;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Irmão / cunhado;Sim;;Não fez nada;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Outra opção;;Não procurou ajuda;20 a 29 anos;Ens. Médio;Até 2 S.M.;Estudante;Amarela;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
48;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;;60 ou mais;Até Ens. Fund.;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Parda;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
49;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Outras respostas ;Não;;;;;;;;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Empregada doméstica;Parda;Católica;Nordeste;Bahia;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
50;Sim;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;NS/NR ;Sim;Não;Não;Não;Não;Não;Não;Sim;;;;;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Dona de casa / Do lar;Parda;Evangélica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
51;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;50 a 59 anos;Ens. Superior;Mais de 5 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Pior;Não;Sim;Mais de 5 a 10 S.M.
52;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;40 a 49 anos;Ens. Médio;Até 2 S.M.;Dona de casa / Do lar;Parda;Católica;Nordeste;Bahia;Sim;Sim;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
53;Às vezes;NS/NR;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;30 a 39 anos;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Preta;Evangélica;Nordeste;Bahia;Sim;Não;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
54;Às vezes;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;50 a 59 anos;Ens. Médio;Até 2 S.M.;Dona de casa / Do lar;Branca;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
55;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Outras respostas ;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Parda;Católica;Nordeste;Bahia;Não;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
