"ID";"P01";"P02";"P03";"P04";"P07";"P08";"P12";"P13";"P15";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P27";"P061";"P062";"P063";"P064";"P065";"P066";"P111";"P112";"P113";"P114";"P141";"P142";"P143";"P144";"P145";"P146";"P171";"P172";"P173";"P174";"P175";"P176";"P1601";"P1602";"P1603";"P1604";"P1605";"P1606";"P1607";"P1608";"P1609";"P1610";"P261";"P262";"P263";"P264";"P265";"P266";"P267";"P268";"P28";"P29";"P30";"P31";"P32";"P33";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P051";"P052";"P053";"P054";"P055";"P056";"P057";"P058";"P10",,
19;Às vezes;No trabalho;Aumentou;Sim;Sim;Sim;NS/NR;Sim;Não;;;;;;;;;Não;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;30 a 39 anos;Até a 4ª série do Fund.;NS/NR;Do Lar (Dona de casa);Católica;Região Nordeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;Sim,,
20;Às vezes;No trabalho;Aumentou;Às vezes;Não;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Não;No;No;No;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;20 a 29 anos;Ensino Médio;NS/NR;Estudante;Católica;Região Nordeste;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;Sim,,
21;Não;No trabalho;Continua igual;Não;Não;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;20 a 29 anos;5ª a 8ª série do Fund.;NS/NR;Do Lar (Dona de casa);Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não,,
22;Às vezes;Na família;Diminuiu;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;50 a 59 anos;5ª a 8ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Do Lar (Dona de casa);Católica;Região Nordeste;No;No;No;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;Sim
23;Não;Na família;Continua igual;Não;Não;Sim;Entidades/Associações de proteção à mulher;Não;Sim;Marido;Sim;Não;;Outra opção;;;16 a 19 anos;Sim;Yes;No;Yes;No;Yes;No;Yes;No;Yes;No;;;;;;;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;60 anos ou +;Ensino Médio;NS/NR;Outras opções;Católica;Região Nordeste;Yes;No;No;No;No;No;No;Yes;No;;;;;;;;;Sim,,
24;Não;Na sociedade;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;40 a 49 anos;Ensino Superior;Mais de 10 SM (Mais de R$ 4.150,00);Servidora pública;Católica;Região Nordeste;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim,
25;Não;Na família;Aumentou;Não;Em parte;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Estudante;Evangélica;Região Nordeste;No;No;No;No;No;No;Yes;No;No;;;;;;;;;Sim
26;Não;Na sociedade;Continua igual;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;No;Yes;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Do Lar (Dona de casa);Católica;Região Nordeste;No;No;No;No;No;No;No;Yes;No;;;;;;;;;Sim
27;Não;Na sociedade;Aumentou;Não;Em parte;Sim;NS/NR;Sim;Sim;Filhos;Sim;Sim;Todos os dias;Não fez nada;Outra opção;;30 a 39 anos;Não;No;No;No;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
28;Às vezes;Na sociedade;Diminuiu;Às vezes;Em parte;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;16 a 19 anos;Ensino Médio;NS/NR;Estudante;Católica;Região Nordeste;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;Sim,,
29;Não;Outros ambientes;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;60 anos ou +;5ª a 8ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Do Lar (Dona de casa);Católica;Região Nordeste;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;Não
30;Sim;No trabalho;Aumentou;Às vezes;Em parte;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;No;No;Yes;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;20 a 29 anos;Ensino Superior;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Funcionária de empresa privada;Católica;Região Nordeste;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;Sim
31;Não;Na família;Aumentou;Não;Em parte;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Outras opções;Católica;Região Nordeste;No;No;No;Yes;No;No;No;No;No;;;;;;;;;Sim
32;Às vezes;Na família;Continua igual;Às vezes;Sim;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;60 anos ou +;Pós-graduação;Mais de 10 SM (Mais de R$ 4.150,00);Aposentada;Católica;Região Norte;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Não,
33;Sim;No trabalho;Aumentou;Não;Sim;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;16 a 19 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Estudante;Evangélica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
34;Sim;Na sociedade;Aumentou;Não;Sim;Sim;Outras respostas;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;Yes;16 a 19 anos;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Empregada doméstica;Evangélica;Região Norte;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim,
35;Sim;Na família;Continua igual;Não;Sim;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;20 a 29 anos;Ensino Médio;NS/NR;Do Lar (Dona de casa);Católica;Região Norte;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não,,
36;Não;Na família;Aumentou;Às vezes;Em parte;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;60 anos ou +;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Servidora pública;Evangélica;Região Nordeste;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Sim
37;Não;No trabalho;Diminuiu;Às vezes;Sim;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Não;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;Yes;Yes;Yes;Yes;No;Yes;Yes;No;40 a 49 anos;Ensino Superior;Mais de 10 SM (Mais de R$ 4.150,00);Servidora pública;Católica;Região Nordeste;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;Yes;No;No;No;Não,
38;Às vezes;Outros ambientes;Aumentou;Não;Sim;Sim;Família;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;Yes;No;No;40 a 49 anos;Ensino Médio;NS/NR;Servidora pública;Evangélica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim,,
39;Não;Na família;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;50 a 59 anos;5ª a 8ª série do Fund.;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Profissional liberal (Autônoma);Católica;Região Nordeste;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Não
40;Não;Na sociedade;Continua igual;Às vezes;Não;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;50 a 59 anos;Ensino Médio;NS/NR;Profissional liberal (Autônoma);Católica;Região Nordeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Não,,
41;Não;NS/NR;Aumentou;Às vezes;Sim;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Não;No;No;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;Yes;No;Yes;No;No;No;No;60 anos ou +;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Aposentada;Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;Não,
42;Às vezes;Na sociedade;Continua igual;Não;NS/NR;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;No;No;Yes;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;Yes;No;No;No;No;No;30 a 39 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Desempregada;Evangélica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim
43;Às vezes;Na sociedade;Aumentou;Às vezes;Não;Sim;Amigos;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;20 a 29 anos;5ª a 8ª série do Fund.;NS/NR;Do Lar (Dona de casa);Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;Sim,,
44;Não;Na família;Aumentou;Não;Em parte;Sim;Outras respostas;Não;Sim;Namorado;Não;;;Outra opção;;;16 a 19 anos;Sim;No;No;No;No;Yes;No;Yes;No;No;No;;;;;;;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;50 a 59 anos;Ensino Superior;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Evangélica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim,
45;Não;Na família;Aumentou;Não;Em parte;Sim;Central de Atendimento à Mulher (número 180);Sim;Não;;;;;;;;;Sim;No;Yes;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Servidora pública;Espírita;Região Nordeste;No;No;Yes;No;No;No;No;No;No;;;;;;;;;NS/NR
46;Não;Na sociedade;Aumentou;Não;Em parte;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Evangélica;Região Nordeste;No;No;No;No;No;Yes;No;No;No;;;;;;;;;Não
47;Não;No trabalho;Aumentou;Não;Em parte;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;40 a 49 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Do Lar (Dona de casa);Evangélica;Região Nordeste;No;No;Yes;No;No;No;No;No;No;;;;;;;;;Sim
48;Não;No trabalho;Aumentou;NS/NR;Sim;Sim;Outras respostas;Não;Não;;;;;;;;;Não;;;;;;;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;60 anos ou +;Até a 4ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Evangélica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;NS/NR,
49;Não;No trabalho;Aumentou;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;20 a 29 anos;5ª a 8ª série do Fund.;NS/NR;Do Lar (Dona de casa);Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim,,
50;Não;Na família;Aumentou;Não;Sim;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;16 a 19 anos;5ª a 8ª série do Fund.;Mais de 10 SM (Mais de R$ 4.150,00);Estudante;Evangélica;Região Nordeste;No;No;No;No;No;No;No;Yes;No;;;;;;;;;Não,
51;Não;Outros ambientes;Aumentou;Às vezes;Não;Sim;Outras respostas;Não;Sim;Marido;Não;;;Outra opção;;;20 a 29 anos;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;50 a 59 anos;5ª a 8ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Aposentada;Outras religiões;Região Nordeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;Sim
52;Não;No trabalho;Diminuiu;Não;Sim;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;16 a 19 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Estudante;Católica;Região Nordeste;No;Yes;No;No;No;No;No;No;No;;;;;;;;;Sim
53;Não;Na sociedade;Continua igual;Não;Sim;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Estudante;Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
54;Às vezes;No trabalho;Diminuiu;Às vezes;Sim;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;20 a 29 anos;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Desempregada;Evangélica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Não,
55;Às vezes;Na sociedade;Aumentou;Às vezes;Em parte;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;Yes;60 anos ou +;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Aposentada;Católica;Região Nordeste;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;Não
56;Não;Na sociedade;Aumentou;Às vezes;Não;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;40 a 49 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Do Lar (Dona de casa);Evangélica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
