"ID";"P3";"P4";"P5";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P19";"P20";"P21";"P22";"P6";"P16";"P17";"P18"
11;Não     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;AL;Sim;Denunciar                                                                 ;Sim;Em parte
12;Às vezes;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);AL;Sim;Denunciar                                                                 ;Sim;Em parte
13;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Desempregada                   ;AL;Sim;Denunciar                                                                 ;Não;Não     
14;Às vezes;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Estudante                      ;AL;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
15;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;AL;Sim;Denunciar                                                                 ;Não;Não     
16;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Estudante                      ;AL;Sim;Denunciar                                                                 ;Não;Em parte
17;Às vezes;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;AL;Sim;Denunciar                                                                 ;Sim;Sim     
18;Às vezes;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Outras ocupações               ;AL;Sim;Estimular o debate social sobre o tema                                    ;Sim;Em parte
19;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Superior    ;NS/NR                                      ;Profissional Liberal (Autônoma);AM;Sim;Melhorar a assistência às vítimas                                         ;Sim;Não     
20;Às vezes;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Servidora Pública              ;AM;Sim;Denunciar                                                                 ;Não;Sim     
21;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Profissional Liberal (Autônoma);AM;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Não     
22;Sim     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;AM;Sim;Melhorar a assistência às vítimas                                         ;Sim;Não     
23;Não     ;NS/NR       ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;NS/NR                                      ;Profissional Liberal (Autônoma);AM;Sim;Denunciar                                                                 ;Não;Em parte
24;Às vezes;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Servidora Pública              ;AM;Sim;Denunciar                                                                 ;Sim;Em parte
25;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Desempregada                   ;AM;Sim;Denunciar                                                                 ;Sim;Em parte
26;Sim     ;Na família  ;Não     ;Sim;Uso do álcool           ;Física             ;Marido     ;Sim  ;Raramente (de vez em quando);Denunciou em Delegacia Comum    ;Ótimo  ;30 a 39 anos;40 a 49 anos;Ensino Fundamental ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Profissional Liberal (Autônoma);AM;Sim;Denunciar                                                                 ;Sim;Sim     
27;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;AM;Não;Capacitar lideranças comunitárias para que possam intervir nas emergências;Não;Sim     
28;Não     ;Na família  ;Não     ;Sim;Ciúmes                  ;Física             ;Marido     ;Não  ;                            ;Procurou ajuda da família       ;       ;16 a 19 anos;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Estudante                      ;AM;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
29;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Outras ocupações               ;AM;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Em parte
30;Não     ;Na família  ;Não     ;Sim;Ciúmes                  ;Todas as anteriores;Marido     ;Não  ;                            ;Denunciou em Delegacia Comum    ;Bom    ;20 a 29 anos;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;AM;Sim;Denunciar                                                                 ;Sim;Em parte
31;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Outras ocupações               ;AM;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
32;Não     ;Outros      ;Sim     ;Sim;Ciúmes                  ;Todas as anteriores;Namorado   ;Não  ;                            ;Denunciou em Delegacia da Mulher;Ótimo  ;16 a 19 anos;16 a 19 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Estudante                      ;AM;Sim;Denunciar                                                                 ;Sim;Sim     
33;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Estudante                      ;AM;Sim;Melhorar a assistência às vítimas                                         ;Sim;Sim     
34;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Aposentada                     ;AM;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
35;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Estudante                      ;AM;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Não     
36;Às vezes;Na sociedade;Em parte;Sim;Uso do álcool           ;Física             ;Companheiro;Não  ;                            ;Denunciou em Delegacia da Mulher;Bom    ;30 a 39 anos;40 a 49 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;AM;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
37;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Estudante                      ;AM;Sim;Denunciar                                                                 ;Não;Sim     
38;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;AM;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Sim;Sim     
39;Não     ;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;AM;Não;Denunciar                                                                 ;Não;Em parte
40;Não     ;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Profissional Liberal (Autônoma);AM;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
41;Não     ;No trabalho ;Não     ;Sim;NS/NR                   ;Psicológica        ;Marido     ;Não  ;                            ;Denunciou em Delegacia Comum    ;Péssimo;20 a 29 anos;50 a 59 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;AM;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
42;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Estudante                      ;AM;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Não     
43;Às vezes;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;AM;Sim;Melhorar a assistência às vítimas                                         ;Não;Em parte
44;Não     ;Na família  ;Em parte;Sim;Uso do álcool           ;Física             ;Marido     ;Não  ;                            ;Denunciou em Delegacia Comum    ;Bom    ;20 a 29 anos;50 a 59 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;AM;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
45;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Estudante                      ;AP;Sim;Denunciar                                                                 ;Sim;Em parte
46;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Empresária                     ;AP;Sim;Denunciar                                                                 ;Sim;Sim     
47;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Do Lar ( Dona de casa)         ;AP;Sim;Denunciar                                                                 ;Não;Em parte
48;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Estudante                      ;AP;Sim;Denunciar                                                                 ;Não;Em parte
49;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Servidora Pública              ;AP;Sim;Melhorar a assistência às vítimas                                         ;Sim;Sim     
50;Às vezes;Na família  ;Em parte;Sim;Uso do álcool           ;Física             ;Marido     ;Sim  ;Não sofro mais violência    ;Denunciou em Delegacia da Mulher;Bom    ;20 a 29 anos;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;AP;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Sim;Em parte
51;Não     ;Na família  ;Sim     ;Sim;Uso do álcool           ;Todas as anteriores;Marido     ;Sim  ;Raramente (de vez em quando);Procurou ajuda da família       ;       ;16 a 19 anos;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;BA;Não;Denunciar                                                                 ;Sim;Sim     
52;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;BA;Sim;Melhorar a assistência às vítimas                                         ;Não;Em parte
53;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Servidora Pública              ;BA;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Em parte
54;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;NS/NR                                      ;Do Lar ( Dona de casa)         ;BA;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
55;Não     ;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;BA;Sim;Denunciar                                                                 ;Sim;Em parte
56;Às vezes;No trabalho ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Desempregada                   ;BA;Sim;Denunciar                                                                 ;Não;Não     
57;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;NS/NR                                      ;Estudante                      ;BA;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Não;Em parte
58;Não     ;Na sociedade;Não     ;Sim;Uso do álcool           ;Moral              ;Marido     ;Não  ;                            ;Não fez nada                    ;       ;0 a 16 anos ;50 a 59 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;BA;Sim;Estimular o debate social sobre o tema                                    ;Sim;Sim     
59;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;NS/NR                                      ;Do Lar ( Dona de casa)         ;BA;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
60;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Estudante                      ;BA;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Em parte
61;Não     ;Na sociedade;Em parte;Sim;Ciúmes                  ;Física             ;Marido     ;Não  ;                            ;Não fez nada                    ;       ;0 a 16 anos ;40 a 49 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;BA;Não;Melhorar a assistência às vítimas                                         ;Sim;Sim     
62;Não     ;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);BA;Sim;Melhorar a assistência às vítimas                                         ;Sim;Sim     
63;Não     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Estudante                      ;BA;Não;Outra opção                                                               ;Sim;Não     
64;Sim     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;NS/NR                                      ;Estudante                      ;BA;Não;Estimular o debate social sobre o tema                                    ;Sim;Sim     
65;Não     ;Na família  ;Sim     ;Sim;Falta de dinheiro       ;Física             ;Companheiro;Não  ;                            ;Procurou ajuda da família       ;       ;30 a 39 anos;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;BA;Sim;Melhorar a assistência às vítimas                                         ;Não;Sim     
66;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;BA;Sim;Denunciar                                                                 ;Sim;Sim     
67;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;BA;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
68;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;BA;Sim;Melhorar a assistência às vítimas                                         ;Não;Em parte
69;Não     ;Na família  ;Em parte;Sim;Influência das amizades ;Todas as anteriores;Namorado   ;Não  ;                            ;NS/NR                           ;       ;16 a 19 anos;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;BA;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
70;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;NS/NR                                      ;Funcionária de empresa privada ;BA;Não;Denunciar                                                                 ;Não;Sim     
71;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;BA;Sim;Estimular o debate social sobre o tema                                    ;Não;Sim     
72;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;BA;Sim;Estimular o debate social sobre o tema                                    ;Sim;Não     
73;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;NS/NR                                      ;Funcionária de empresa privada ;BA;Sim;Melhorar a assistência às vítimas                                         ;Não;Em parte
74;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;BA;Sim;Estimular o debate social sobre o tema                                    ;Sim;Não     
75;Não     ;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;BA;Sim;Denunciar                                                                 ;Sim;Em parte
76;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;NS/NR                                      ;Estudante                      ;BA;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Em parte
77;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;BA;Sim;Denunciar                                                                 ;Sim;Sim     
78;Às vezes;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;NS/NR                                      ;Do Lar ( Dona de casa)         ;BA;Não;Melhorar a assistência às vítimas                                         ;Sim;Sim     
79;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Superior    ;Mais de 20 SM (acima de R$ 7.000)          ;Funcionária de empresa privada ;BA;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Não     
80;Sim     ;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;NS/NR                                      ;Profissional Liberal (Autônoma);BA;Sim;NS/NR                                                                     ;Não;Não     
81;Não     ;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;BA;Sim;Denunciar                                                                 ;Não;Sim     
82;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;BA;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Não;Não     
83;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Superior    ;Mais de 20 SM (acima de R$ 7.000)          ;Funcionária de empresa privada ;BA;Sim;Estimular o debate social sobre o tema                                    ;Sim;Em parte
84;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Profissional Liberal (Autônoma);BA;Sim;Denunciar                                                                 ;Sim;Em parte
85;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Funcionária de empresa privada ;BA;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
86;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);BA;Não;Melhorar a assistência às vítimas                                         ;Não;Em parte
87;Não     ;Na família  ;Sim     ;Sim;Ciúmes                  ;Física             ;Marido     ;Não  ;                            ;Não fez nada                    ;       ;16 a 19 anos;50 a 59 anos;Não alfabetizada   ;Até 2 SM (R$ 700)                          ;Outras ocupações               ;BA;Sim;Denunciar                                                                 ;Não;Sim     
88;Às vezes;Na família  ;Não     ;Sim;Uso do álcool           ;Física             ;Marido     ;Não  ;                            ;Denunciou em Delegacia Comum    ;Péssimo;20 a 29 anos;50 a 59 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;BA;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
89;Sim     ;Outros      ;Sim     ;Sim;Uso do álcool           ;Física             ;Marido     ;Não  ;                            ;Denunciou em Delegacia Comum    ;Ótimo  ;20 a 29 anos;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);BA;Sim;Melhorar a assistência às vítimas                                         ;Não;Sim     
90;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);BA;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Não;Não     
91;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);BA;Sim;Denunciar                                                                 ;Sim;Em parte
92;Às vezes;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Superior    ;Mais de 20 SM (acima de R$ 7.000)          ;Funcionária de empresa privada ;BA;Sim;Denunciar                                                                 ;Sim;Em parte
93;Às vezes;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Superior    ;NS/NR                                      ;Profissional Liberal (Autônoma);BA;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
94;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;NS/NR                                      ;Outras ocupações               ;BA;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
95;Às vezes;Na família  ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Estudante                      ;CE;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
