"ID";"P04";"P05";"P10";"P11";"P20";"P2101";"P2102";"P2103";"P2104";"P2105";"P2106";"P2107";"P2108";"P2109";"P2110";"P2111";"P221";"P222";"P223";"P224";"P225";"P226";"P227";"P24";"P26";"P27";"P29";"P31";"P06";"P07";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P16";"P17";"P18";"P191";"P192";"P193";"P194";"P195";"P196";"P197";"P25";"P28";"P30";"P32";"P03";"P02";"P34";"P35";"P36";"P37";"P38";"P39";"P12";"P13";"P141";"P142";"P143";"P144";"P15";"P23";"P33_1";"P33_2",
11;Sim;NS/NR ;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;NS/NR ;;;;;;;;;;Sim;Outras respostas ;Não;;;;;;;;;;;;Centro Oeste;Goiás;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Aposentada;Católica;NS/NR;Pior;Sim;No;No;Yes;No;Sim;;NS/NR;Aumenta a proteção à mulher,
12;Não;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Não;;Sim;Yes;No;No;No;No;No;No;;;;;Norte;Amazonas;40 a 49;Até Ens. Fund.;Mais de 2 a 5;Profissional Liberal;Evangélica;Indígena;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
13;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;Yes;No;No;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;No;No;No;No;No;Yes;No;;;;;Sudeste;São Paulo;50 a 59;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Melhor;Não;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
14;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;No;No;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;;Sul;Rio Grande do Sul;20 a 29;Ens. Médio;Sem renda;Do Lar;Católica;Preta;Melhor;Não;Yes;No;No;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
15;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;NS/NR ;;Sim;Yes;No;No;No;No;No;No;;;;;Centro Oeste;Goiás;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Católica;Parda;Pior;Sim;No;No;Yes;No;Sim;;NS/NR;Aumenta a proteção à mulher,
16;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Centro Oeste;Goiás;20 a 29;Ens. Médio;Até 2 S.M.;NS/NR;Católica;Parda;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
17;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;No;Yes;No;No;No;No;No;;;;;Norte;Amazonas;20 a 29;Ens. Médio;NS/NR;Funcionária de empresa privada;Católica;Branca;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
18;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;No;No;No;;;;;Sul;Rio Grande do Sul;50 a 59;Ens. Superior;Mais de 5 a 10;Aposentada;Outras religiões;Branca;Igual;Sim;Yes;Yes;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
19;Às vezes;Na sociedade;Sim;Sim;Sim;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Sim;;Procurou ajuda dos amigos;;0 a 16 anos;Aumentou;Na maioria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Família;Sim;No;No;Yes;No;No;No;No;Não;;;Primeira vez;Centro Oeste;Goiás;16 a 19 anos;Até Ens. Fund.;Sem renda;Do Lar;Evangélica;Branca;Melhor;Sim;Yes;No;No;No;Não;Marido/companheiro;Fortalece a lei;Aumenta a proteção à mulher,
20;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;Yes;No;No;Yes;No;No;No;No;Não;;Não;;;;;;;;;;;;Norte;Amazonas;50 a 59;Ens. Médio;Sem renda;Do Lar;Católica;Parda;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;NS/NR,
21;Às vezes;Na família;Não;Sim;Sim;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;Não;;Denunciou em delegacia comum;Regular;20 a 29 anos;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Não;;Sim;Yes;No;Yes;No;No;No;No;;;;Terceira vez ou mais;Sudeste;São Paulo;50 a 59;Até Ens. Fund.;Até 2 S.M.;Aposentada;Católica;Preta;Pior;Sim;No;No;Yes;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
22;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;No;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;No;No;Yes;No;No;No;No;;;;;Centro Oeste;Goiás;50 a 59;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Outras religiões;Parda;Melhor;Sim;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
23;Às vezes;NS/NR ;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;No;No;No;No;No;No;No;No;Yes;Não;;Não;;;;;;;;;;;;Centro Oeste;Goiás;50 a 59;Ens. Médio;Sem renda;Do Lar;Evangélica;Amarela;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
24;Às vezes;No trabalho;Em parte;Sim;Sim;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim;;Denunciou em delegacia da Mulher;Ótimo;20 a 29 anos;Continuou igual;Não denunciam;No;No;No;No;No;No;No;Yes;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;Não;;;Terceira vez ou mais;Sul;Rio Grande do Sul;30 a 39;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Outras religiões;Preta;Melhor;Não;No;Yes;No;No;Sim;Marido/companheiro;Fortalece a lei;Aumenta a proteção à mulher,
25;Não;Na família;Não;Sim;Sim;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;Yes;No;No;Sim;;Outra opção;;NS/NR;Aumentou;Na minoria das vezes;Yes;No;No;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;Yes;No;No;Não;;;NS/NR;Centro Oeste;Goiás;40 a 49;Ens. Médio;Mais de 2 a 5;Do Lar;Evangélica;Parda;Pior;Não;No;Yes;Yes;No;Sim;NS/NR ;Enfraquece a lei;Diminui a proteção à mulher,
26;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;Yes;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;São Paulo;40 a 49;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Igual;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
27;Não;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Norte;Amazonas;20 a 29;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Melhor;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
28;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;No;No;No;Yes;No;No;No;Yes;No;Sim;Outras respostas ;Sim;No;No;No;No;No;Yes;No;;;;;Sul;Rio Grande do Sul;50 a 59;Ens. Superior;Mais de 2 a 5;Aposentada;Católica;Branca;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
29;Não;Na família;Sim;Sim;Sim;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Não;;Denunciou em delegacia comum;Regular;20 a 29 anos;Aumentou;Na maioria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;Primeira vez;Centro Oeste;Goiás;40 a 49;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Melhor;Sim;No;No;Yes;No;Sim;Outro ;Fortalece a lei;Aumenta a proteção à mulher,
30;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Outras respostas ;Sim;Yes;No;No;No;No;No;No;;;;;Norte;Amazonas;30 a 39;Ens. Médio;NS/NR;NS/NR;Evangélica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
31;Às vezes;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;No;No;Yes;No;No;No;Não;;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;60 ou mais;Ens. Superior;Mais de 2 a 5;Aposentada;Católica;Parda;Igual;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
32;Não;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Yes;No;No;Yes;No;No;No;No;No;NS/NR ;;Sim;Yes;No;No;No;Yes;No;No;;;;;Sudeste;São Paulo;30 a 39;Ens. Médio;Até 2 S.M.;Do Lar;Evangélica;Parda;Igual;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
33;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Centro Oeste;Goiás;30 a 39;Ens. Médio;Até 2 S.M.;Empregada doméstica;Católica;Branca;Igual;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
34;Não;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;NS/NR ;;Sim;No;No;No;No;No;Yes;No;;;;;Norte;Amazonas;30 a 39;Ens. Superior;Sem renda;Desempregada;Outras religiões;Branca;Melhor;Não;Yes;No;No;No;Sim;;Fortalece a lei;NS/NR,
35;Às vezes;Na sociedade;Sim;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Não;;Procurou ajuda dos amigos;;20 a 29 anos;Continuou igual;Não denunciam;No;No;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;Segunda vez;Sudeste;São Paulo;20 a 29;Ens. Médio;Sem renda;Desempregada;Evangélica;Amarela;NS/NR ;Sim;No;No;Yes;No;Sim;Outro ;Fortalece a lei;Aumenta a proteção à mulher,
36;Não;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Do Lar;Católica;Parda;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
37;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;No;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;Yes;No;No;;;;;Centro Oeste;Goiás;50 a 59;Ens. Médio;Sem renda;Do Lar;Católica;Branca;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
38;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;Yes;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;São Paulo;20 a 29;Ens. Médio;Mais de 2 a 5;Funcionária de empresa privada;Católica;Parda;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
39;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;30 a 39;Ens. Médio;Mais de 2 a 5;Funcionária de empresa privada;Outras religiões;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
40;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Yes;No;No;Yes;No;Yes;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Centro Oeste;Goiás;50 a 59;Até Ens. Fund.;Sem renda;Do Lar;Evangélica;Parda;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
41;Às vezes;NS/NR ;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;Yes;No;No;Yes;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sudeste;Espírito Santo;50 a 59;Ens. Médio;NS/NR;Aposentada;Católica;Parda;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
42;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;Yes;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;;;;;Sul;Rio Grande do Sul;30 a 39;Ens. Médio;Mais de 2 a 5;Profissional Liberal;Católica;Branca;NS/NR ;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
43;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;Yes;Yes;No;No;;;;;Sudeste;São Paulo;50 a 59;Ens. Superior;Mais de 5 a 10;Servidora Pública;Outras religiões;Parda;Pior;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
44;Não;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Central de Atendimento à Mulher (número 180);Não;;;;;;;;;;;;Nordeste;Pernambuco;30 a 39;Até Ens. Fund.;Sem renda;Do Lar;Católica;Parda;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
45;Não;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;;;;;Centro Oeste;Goiás;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Do Lar;Católica;NS/NR;Pior;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
46;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Minas Gerais;50 a 59;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
47;Às vezes;Na sociedade;Em parte;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Não;;Não fez nada;;16 a 19 anos;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;No;No;No;;Preocupação com a criação dos filhos;;NS/NR;Nordeste;Pernambuco;50 a 59;Até Ens. Fund.;Mais de 2 a 5;Do Lar;Católica;Indígena;Pior;Não;No;No;Yes;No;Sim;Outro ;Enfraquece a lei;Diminui a proteção à mulher,
48;Não;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Outras respostas ;Não;;;;;;;;;;;;Sudeste;São Paulo;40 a 49;Até Ens. Fund.;Até 2 S.M.;Desempregada;Evangélica;Parda;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
49;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;Minas Gerais;30 a 39;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
50;Não;NS/NR ;Não;Sim;Sim;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;Não;;Denunciou em delegacia da Mulher;Ótimo;40 a 49 anos;Diminuiu;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;No;No;No;;;;Primeira vez;Sudeste;Espírito Santo;50 a 59;Até Ens. Fund.;Sem renda;Desempregada;Católica;Parda;NS/NR ;Sim;Yes;No;Yes;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
51;Às vezes;Na sociedade;Em parte;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Sim;;Outra opção;;30 a 39 anos;Aumentou;Na minoria das vezes;No;No;Yes;No;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;No;No;No;No;Yes;No;No;Não;;;Terceira vez ou mais;Centro Oeste;Goiás;60 ou mais;Até Ens. Fund.;Sem renda;Do Lar;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
52;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;50 a 59;Até Ens. Fund.;Mais de 2 a 5;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
53;Não;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;No;No;Yes;Yes;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;30 a 39;Ens. Médio;Mais de 2 a 5;Profissional Liberal;Evangélica;Preta;Pior;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
54;Não;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Yes;No;No;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;40 a 49;Ens. Médio;Até 2 S.M.;Profissional Liberal;Católica;Parda;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
55;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Nordeste;Pernambuco;16 a 19 anos;Ens. Médio;Sem renda;Estudante;Católica;Parda;Igual;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
56;Às vezes;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Norte;Roraima;30 a 39;Ens. Médio;Até 2 S.M.;Empregada doméstica;Evangélica;Parda;Pior;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
57;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;Yes;No;No;No;No;;;;;Nordeste;Pernambuco;50 a 59;Ens. Médio;Até 2 S.M.;Empregada doméstica;Católica;Branca;Pior;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
58;Não;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Nordeste;Pernambuco;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Aposentada;Católica;Preta;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
